arrivaldatetime,duetime,departuredatetime,departureduetime,scheduledarrivaldatetime,scheduleddeparturedatetime,destination,destinationlocalized,origin,originlocalized,direction,operator,operatortype,additionalinformation,lowfloorstatus,route,sourcetimestamp,monitored,stopid
18/02/2020 21:30:23,6,18/02/2020 21:30:23,6,18/02/2020 21:29:00,18/02/2020 21:29:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:21:43,true,luas16
18/02/2020 21:41:23,17,18/02/2020 21:41:23,17,18/02/2020 21:39:00,18/02/2020 21:39:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:23:22,true,luas16
18/02/2020 21:28:24,4,18/02/2020 21:28:24,4,18/02/2020 21:27:00,18/02/2020 21:27:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:21:43,true,luas17
18/02/2020 21:30:09,6,18/02/2020 21:30:09,6,18/02/2020 21:30:00,18/02/2020 21:30:00,LUAS The Point,LUAS Iosta na Rinne,LUAS Tallaght,LUAS Tamhlacht,Inbound,LUAS,3,,no,Red,18/02/2020 21:11:49,true,luas17
18/02/2020 21:39:24,15,18/02/2020 21:39:24,15,18/02/2020 21:37:00,18/02/2020 21:37:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:23:22,true,luas17
18/02/2020 21:26:11,2,18/02/2020 21:26:11,2,18/02/2020 21:25:00,18/02/2020 21:25:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:21:43,true,luas18
18/02/2020 21:32:05,8,18/02/2020 21:32:05,8,18/02/2020 21:33:00,18/02/2020 21:33:00,LUAS The Point,LUAS Iosta na Rinne,LUAS Tallaght,LUAS Tamhlacht,Inbound,LUAS,3,,no,Red,18/02/2020 21:18:25,true,luas18
18/02/2020 21:37:11,13,18/02/2020 21:37:11,13,18/02/2020 21:35:00,18/02/2020 21:35:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:23:23,true,luas18
18/02/2020 21:24:12,Due,18/02/2020 21:24:12,Due,18/02/2020 21:23:00,18/02/2020 21:23:00,LUAS The Point,LUAS Iosta na Rinne,LUAS Tallaght,LUAS Tamhlacht,Inbound,LUAS,3,,no,Red,18/02/2020 21:13:28,true,luas19
18/02/2020 21:24:57,1,18/02/2020 21:24:57,1,18/02/2020 21:24:00,18/02/2020 21:24:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:21:43,true,luas19
