arrivaldatetime,duetime,departuredatetime,departureduetime,scheduledarrivaldatetime,scheduleddeparturedatetime,destination,destinationlocalized,origin,originlocalized,direction,operator,operatortype,additionalinformation,lowfloorstatus,route,sourcetimestamp,monitored,stopid
18/02/2020 20:08:35,12,18/02/2020 20:08:35,12,18/02/2020 20:04:00,18/02/2020 20:04:00,Dublin Airport,Aerfort,Brehon Field Rd,Brehon Field Rd,Inbound,bac,1,,no,16,18/02/2020 19:52:31,true,14
18/02/2020 20:10:54,14,18/02/2020 20:10:54,14,18/02/2020 20:11:00,18/02/2020 20:11:00,Shanard Road, ,Park Avenue,Park Avenue,Inbound,bac,1,,no,1,18/02/2020 19:11:16,true,14
18/02/2020 20:14:27,18,18/02/2020 20:14:27,18,18/02/2020 20:06:00,18/02/2020 20:06:00,Charlestown,Baile Shéarlais,Fonthill Rd,Fonthill Rd,Inbound,bac,1,,no,40,18/02/2020 19:45:54,true,14
18/02/2020 20:16:34,20,18/02/2020 20:16:34,20,18/02/2020 20:19:00,18/02/2020 20:19:00,Harristown,Baile Anraí,Grange Castle,Caisleán na Gráinsí,Inbound,bac,1,,no,13,18/02/2020 19:55:49,true,14
18/02/2020 20:16:43,20,18/02/2020 20:16:43,20,18/02/2020 20:19:00,18/02/2020 20:19:00,Dublin Airport,Aerfort,Brehon Field Rd,Brehon Field Rd,Inbound,bac,1,,no,16,18/02/2020 19:55:49,true,14
18/02/2020 20:20:29,24,18/02/2020 20:20:29,24,18/02/2020 20:18:00,18/02/2020 20:18:00,Ashington,Ashington,Drimnagh Rd,Drimnagh Rd,Inbound,bac,1,,no,122,18/02/2020 19:55:49,true,14
18/02/2020 20:21:04,24,18/02/2020 20:21:04,24,18/02/2020 20:19:00,18/02/2020 20:19:00,St Pappin's Rd,St Pappin's Rd,Blackthorn Road,Blackthorn Road,Inbound,bac,1,,no,11,18/02/2020 19:47:34,true,14
18/02/2020 20:29:56,33,18/02/2020 20:29:56,33,18/02/2020 20:30:00,18/02/2020 20:30:00,Harristown,Baile Anraí,Grange Castle,Caisleán na Gráinsí,Inbound,bac,1,,no,13,18/02/2020 19:50:52,true,14
18/02/2020 20:30:54,34,18/02/2020 20:30:54,34,18/02/2020 20:31:00,18/02/2020 20:31:00,Shanard Road, ,Park Avenue,Park Avenue,Inbound,bac,1,,no,1,18/02/2020 19:31:03,true,14
18/02/2020 20:34:12,37,18/02/2020 20:34:12,37,18/02/2020 20:34:00,18/02/2020 20:34:00,Dublin Airport,Aerfort,Brehon Field Rd,Brehon Field Rd,Inbound,bac,1,,no,16,18/02/2020 19:34:21,true,14
18/02/2020 20:34:59,38,18/02/2020 20:34:59,38,18/02/2020 20:35:00,18/02/2020 20:35:00,Tyrrelstown,Baile an Tirialaigh,Parnell Street,Parnell Street,Outbound,bac,1,,no,40D,18/02/2020 19:36:00,true,14
18/02/2020 20:38:51,42,18/02/2020 20:38:51,42,18/02/2020 20:36:00,18/02/2020 20:36:00,Charlestown,Baile Shéarlais,Fonthill Rd,Fonthill Rd,Inbound,bac,1,,no,40,18/02/2020 19:49:13,true,14
18/02/2020 20:43:27,47,18/02/2020 20:43:27,47,18/02/2020 20:43:00,18/02/2020 20:43:00,Ashington,Ashington,Drimnagh Rd,Drimnagh Rd,Inbound,bac,1,,no,122,18/02/2020 19:44:16,true,14
18/02/2020 20:48:58,52,18/02/2020 20:48:58,52,18/02/2020 20:49:00,18/02/2020 20:49:00,St Pappin's Rd,St Pappin's Rd,Blackthorn Road,Blackthorn Road,Inbound,bac,1,,no,11,18/02/2020 19:49:13,true,14
